primaryIdentifier,organism.shortName,pathways.identifier,pathways.name,pathways.link
SGD:S000002289,S. cerevisiae,PTWY:LYSINE-AMINOAD-PWY-2,L-lysine biosynthesis IV,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=LYSINE-AMINOAD-PWY-2
SGD:S000002341,S. cerevisiae,PTWY:LYSINE-AMINOAD-PWY-2,L-lysine biosynthesis IV,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=LYSINE-AMINOAD-PWY-2
SGD:S000001356,S. cerevisiae,PTWY:LYSINE-AMINOAD-PWY-2,L-lysine biosynthesis IV,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=LYSINE-AMINOAD-PWY-2
SGD:S000003900,S. cerevisiae,PTWY:P4-PWY-1,superpathway of threonine and methionine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=P4-PWY-1
SGD:S000003900,S. cerevisiae,PTWY:PWY3O-7,superpathway of threonine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-7
SGD:S000003900,S. cerevisiae,PTWY:PWY3O-954,superpathway of methionine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-954
SGD:S000003900,S. cerevisiae,PTWY:PWY-821-1,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-821-1
SGD:S000003900,S. cerevisiae,PTWY:THRESYN-PWY,superpathway of L-threonine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=THRESYN-PWY
SGD:S000001067,S. cerevisiae,PTWY:P4-PWY-1,superpathway of threonine and methionine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=P4-PWY-1
SGD:S000001067,S. cerevisiae,PTWY:PWY3O-7,superpathway of threonine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-7
SGD:S000001067,S. cerevisiae,PTWY:THRESYN-PWY,superpathway of L-threonine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=THRESYN-PWY
SGD:S000000042,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000000042,S. cerevisiae,PTWY:FOLSYN-PWY-1,superpathway of tetrahydrofolate biosynthesis and salvage,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=FOLSYN-PWY-1
SGD:S000000042,S. cerevisiae,PTWY:PWY-2201,folate transformations I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2201
SGD:S000000042,S. cerevisiae,PTWY:PWY3O-697,folate interconversions,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-697
SGD:S000006179,S. cerevisiae,PTWY:PWY3O-17,thiamine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-17
SGD:S000005728,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000000452,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000001694,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000001694,S. cerevisiae,PTWY:COMPLETE-ARO-PWY-1,superpathway of aromatic amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=COMPLETE-ARO-PWY-1
SGD:S000005681,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000001259,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000001259,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000001259,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000001259,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000001259,S. cerevisiae,PTWY:PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6125
SGD:S000004424,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000004424,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000004424,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000004424,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000004424,S. cerevisiae,PTWY:PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6125
SGD:S000004520,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000004520,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000004520,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000004520,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000004520,S. cerevisiae,PTWY:PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6125
SGD:S000003689,S. cerevisiae,PTWY:PWY-2301,myo-inositol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2301
SGD:S000001088,S. cerevisiae,PTWY:PWY-2301,myo-inositol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2301
SGD:S000002695,S. cerevisiae,PTWY:PWY-2301,myo-inositol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2301
SGD:S000002479,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000001361,S. cerevisiae,PTWY:GLYCOCAT-YEAST-PWY,glycogen catabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYCOCAT-YEAST-PWY
SGD:S000001424,S. cerevisiae,PTWY:SUCUTIL-PWY-2,sucrose degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SUCUTIL-PWY-2
SGD:S000003964,S. cerevisiae,PTWY:PWY3O-188,"aerobic respiration, electron transport chain",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-188
SGD:S000003964,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000003964,S. cerevisiae,PTWY:TCA-EUK-PWY,"TCA cycle, aerobic respiration",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TCA-EUK-PWY
SGD:S000000867,S. cerevisiae,PTWY:GLYOXYLATE-BYPASS,glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYOXYLATE-BYPASS
SGD:S000000867,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000006038,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
SGD:S000006038,S. cerevisiae,PTWY:IPPSYN-PWY,mevalonate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=IPPSYN-PWY
SGD:S000006038,S. cerevisiae,PTWY:PWY-5123,"trans, trans-farnesyl diphosphate biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5123
SGD:S000006038,S. cerevisiae,PTWY:PWY-922,mevalonate pathway I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-922
SGD:S000002977,S. cerevisiae,PTWY:BRANCHED-CHAIN-AA-SYN-PWY-1,superpathway of branched chain amino acid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=BRANCHED-CHAIN-AA-SYN-PWY-1
SGD:S000002977,S. cerevisiae,PTWY:LEUSYN-PWY-1,L-leucine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=LEUSYN-PWY-1
SGD:S000000380,S. cerevisiae,PTWY:PANTOSYN2-PWY,pantothenate and coenzyme A biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PANTOSYN2-PWY
SGD:S000004221,S. cerevisiae,PTWY:NADSYN-PWY,NAD de novo biosynthesis II (from tryptophan),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=NADSYN-PWY
SGD:S000004221,S. cerevisiae,PTWY:PWY3O-4158,superpathway of NAD biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4158
SGD:S000004221,S. cerevisiae,PTWY:PWY-5651,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5651
SGD:S000004221,S. cerevisiae,PTWY:TRYPTOPHAN-DEGRADATION-1,L-tryptophan degradation III (eukaryotic),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TRYPTOPHAN-DEGRADATION-1
SGD:S000000194,S. cerevisiae,PTWY:NADSYN-PWY,NAD de novo biosynthesis II (from tryptophan),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=NADSYN-PWY
SGD:S000000194,S. cerevisiae,PTWY:PWY3O-4158,superpathway of NAD biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4158
SGD:S000000194,S. cerevisiae,PTWY:PWY-5651,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5651
SGD:S000000194,S. cerevisiae,PTWY:TRYPTOPHAN-DEGRADATION-1,L-tryptophan degradation III (eukaryotic),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TRYPTOPHAN-DEGRADATION-1
SGD:S000003596,S. cerevisiae,PTWY:NADSYN-PWY,NAD de novo biosynthesis II (from tryptophan),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=NADSYN-PWY
SGD:S000003596,S. cerevisiae,PTWY:PWY3O-4158,superpathway of NAD biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4158
SGD:S000003596,S. cerevisiae,PTWY:PWY-5651,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-5651
SGD:S000003596,S. cerevisiae,PTWY:TRYPTOPHAN-DEGRADATION-1,L-tryptophan degradation III (eukaryotic),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TRYPTOPHAN-DEGRADATION-1
SGD:S000001049,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
SGD:S000001049,S. cerevisiae,PTWY:PWY-6074-1,zymosterol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6074-1
SGD:S000001114,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
SGD:S000001114,S. cerevisiae,PTWY:PWY-6132,lanosterol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6132
SGD:S000003870,S. cerevisiae,PTWY:CITRUL-BIO2-PWY,citrulline biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=CITRUL-BIO2-PWY
SGD:S000003870,S. cerevisiae,PTWY:PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-162
SGD:S000005221,S. cerevisiae,PTWY:P4-PWY-1,superpathway of threonine and methionine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=P4-PWY-1
SGD:S000005221,S. cerevisiae,PTWY:PWY3O-954,superpathway of methionine biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-954
SGD:S000005221,S. cerevisiae,PTWY:PWY-821-1,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-821-1
SGD:S000002911,S. cerevisiae,PTWY:TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TRIGLSYN-PWY
SGD:S000003670,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000005844,S. cerevisiae,PTWY:YEAST-FAO-PWY,fatty acid oxidation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-FAO-PWY
SGD:S000004860,S. cerevisiae,PTWY:YEAST-FAO-PWY,fatty acid oxidation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-FAO-PWY
SGD:S000001271,S. cerevisiae,PTWY:YEAST-FAO-PWY,fatty acid oxidation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-FAO-PWY
SGD:S000004430,S. cerevisiae,PTWY:ARGDEG-YEAST-PWY,arginine degradation (aerobic),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ARGDEG-YEAST-PWY
SGD:S000005503,S. cerevisiae,PTWY:YEAST-RIBOSYN-PWY,"riboflavin, FMN and FAD biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-RIBOSYN-PWY
SGD:S000000135,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000000135,S. cerevisiae,PTWY:PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-162
SGD:S000000135,S. cerevisiae,PTWY:PYRIMID-RNTSYN-PWY,de novo biosynthesis of pyrimidine ribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PYRIMID-RNTSYN-PWY
SGD:S000000872,S. cerevisiae,PTWY:DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE2-PWY
SGD:S000000872,S. cerevisiae,PTWY:DENOVOPURINE3-PWY,de novo biosynthesis of purine nucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=DENOVOPURINE3-PWY
SGD:S000000872,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000000872,S. cerevisiae,PTWY:PWY3O-285,superpathway of purine biosynthesis and salvage pathways,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-285
SGD:S000000872,S. cerevisiae,PTWY:PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6125
SGD:S000000872,S. cerevisiae,PTWY:PWY-6126-1,superpathway of adenosine nucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6126-1
SGD:S000000872,S. cerevisiae,PTWY:PWY-7220-1,adenosine deoxyribonucleotides de novo biosynthesis II,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-7220-1
SGD:S000000872,S. cerevisiae,PTWY:YEAST-DE-NOVO-PYRMID-DNT,de novo biosynthesis of pyrimidine deoxyribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-DE-NOVO-PYRMID-DNT
SGD:S000003093,S. cerevisiae,PTWY:ALL-CHORISMATE-PWY-1,superpathway of chorismate metabolism,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ALL-CHORISMATE-PWY-1
SGD:S000003093,S. cerevisiae,PTWY:FOLSYN-PWY-1,superpathway of tetrahydrofolate biosynthesis and salvage,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=FOLSYN-PWY-1
SGD:S000003093,S. cerevisiae,PTWY:PWY-2201,folate transformations I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-2201
SGD:S000003093,S. cerevisiae,PTWY:PWY3O-20,folate polyglutamylation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-20
SGD:S000003093,S. cerevisiae,PTWY:PWY3O-697,folate interconversions,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-697
SGD:S000004034,S. cerevisiae,PTWY:GLUCFERMEN-PWY,superpathway of glucose fermentation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCFERMEN-PWY
SGD:S000004034,S. cerevisiae,PTWY:PWY3O-4108,L-tyrosine degradation III,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-4108
SGD:S000004034,S. cerevisiae,PTWY:PWY3O-440,pyruvate fermentation to acetoin III,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-440
SGD:S000004034,S. cerevisiae,PTWY:PWY3O-981,superpathway of acetoin and butanediol biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-981
SGD:S000004574,S. cerevisiae,PTWY:PRPP-PWY-1,"superpathway of histidine, purine, and pyrimidine biosynthesis",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PRPP-PWY-1
SGD:S000004574,S. cerevisiae,PTWY:PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY0-162
SGD:S000004574,S. cerevisiae,PTWY:PYRIMID-RNTSYN-PWY,de novo biosynthesis of pyrimidine ribonucleotides,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PYRIMID-RNTSYN-PWY
SGD:S000001470,S. cerevisiae,PTWY:GLYOXYLATE-BYPASS,glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYOXYLATE-BYPASS
SGD:S000001470,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000005061,S. cerevisiae,PTWY:GLYOXYLATE-BYPASS,glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLYOXYLATE-BYPASS
SGD:S000005061,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000000805,S. cerevisiae,PTWY:PWY3O-123,dolichyl phosphate D-mannose biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-123
SGD:S000000805,S. cerevisiae,PTWY:PWY3O-1743,mannose degradation,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-1743
SGD:S000005978,S. cerevisiae,PTWY:SPHINGOLIPID-SYN-PWY-1,sphingolipid biosynthesis (yeast),https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=SPHINGOLIPID-SYN-PWY-1
SGD:S000000314,S. cerevisiae,PTWY:GLUCOSE-MANNOSYL-CHITO-DOLICHOL,lipid-linked oligosaccharide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCOSE-MANNOSYL-CHITO-DOLICHOL
SGD:S000003033,S. cerevisiae,PTWY:GLUCOSE-MANNOSYL-CHITO-DOLICHOL,lipid-linked oligosaccharide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCOSE-MANNOSYL-CHITO-DOLICHOL
SGD:S000005163,S. cerevisiae,PTWY:GLUCOSE-MANNOSYL-CHITO-DOLICHOL,lipid-linked oligosaccharide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=GLUCOSE-MANNOSYL-CHITO-DOLICHOL
SGD:S000000817,S. cerevisiae,PTWY:YEAST-FAO-PWY,fatty acid oxidation pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=YEAST-FAO-PWY
SGD:S000002585,S. cerevisiae,PTWY:PWY3O-188,"aerobic respiration, electron transport chain",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-188
SGD:S000002585,S. cerevisiae,PTWY:PWY3O-94,superpathway of TCA cycle and glyoxylate cycle,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-94
SGD:S000002585,S. cerevisiae,PTWY:TCA-EUK-PWY,"TCA cycle, aerobic respiration",https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=TCA-EUK-PWY
SGD:S000003834,S. cerevisiae,PTWY:PHOSLIPSYN2-PWY-1,phospholipid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PHOSLIPSYN2-PWY-1
SGD:S000003834,S. cerevisiae,PTWY:PHOS-PWY,superpathway of phosphatidic acid and phospholipid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PHOS-PWY
SGD:S000003834,S. cerevisiae,PTWY:PWY3O-2,superpathway of phospholipid biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-2
SGD:S000000450,S. cerevisiae,PTWY:PWY-6482-1,diphthamide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6482-1
SGD:S000004007,S. cerevisiae,PTWY:PWY3O-351,superpathway of methionine salvage pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY3O-351
SGD:S000004162,S. cerevisiae,PTWY:PWY-6482-1,diphthamide biosynthesis,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-6482-1
SGD:S000004821,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
SGD:S000004821,S. cerevisiae,PTWY:IPPSYN-PWY,mevalonate pathway,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=IPPSYN-PWY
SGD:S000004821,S. cerevisiae,PTWY:PWY-922,mevalonate pathway I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=PWY-922
SGD:S000005326,S. cerevisiae,PTWY:ERGOSTEROL-SYN-PWY-1,superpathway of ergosterol biosynthesis I,https://pathway.yeastgenome.org/YEAST/new-image?type=PATHWAY&detail-level=2&object=ERGOSTEROL-SYN-PWY-1
